yearid,salary_total,w
2000,"$51,464,167.00 ",82
2000,"$81,027,833.00 ",85
2000,"$84,537,836.00 ",95
2000,"$81,447,435.00 ",74
2000,"$77,940,333.00 ",85
2000,"$31,133,500.00 ",95
2000,"$60,539,333.00 ",65
2000,"$46,867,200.00 ",85
2000,"$75,880,771.00 ",90
2000,"$61,111,190.00 ",82
2000,"$58,265,167.00 ",79
2000,"$19,872,000.00 ",79
2000,"$51,289,111.00 ",72
2000,"$23,433,000.00 ",77
2000,"$87,924,286.00 ",86
2000,"$36,505,333.00 ",73
2000,"$16,519,500.00 ",69
2000,"$32,994,333.00 ",67
2000,"$92,338,260.00 ",87
2000,"$79,509,776.00 ",94
2000,"$31,971,333.00 ",91
2000,"$47,308,000.00 ",65
2000,"$28,928,334.00 ",69
2000,"$54,821,000.00 ",76
2000,"$58,915,000.00 ",91
2000,"$53,737,826.00 ",97
2000,"$61,453,863.00 ",95
2000,"$62,765,129.00 ",69
2000,"$70,795,921.00 ",71
2000,"$44,838,332.00 ",83
2001,"$47,535,167.00 ",75
2001,"$85,082,999.00 ",92
2001,"$91,936,166.00 ",88
2001,"$67,599,540.00 ",63
2001,"$110,035,833.00 ",82
2001,"$65,653,667.00 ",83
2001,"$64,715,833.00 ",88
2001,"$48,986,000.00 ",66
2001,"$93,152,001.00 ",91
2001,"$71,541,334.00 ",73
2001,"$53,416,167.00 ",66
2001,"$35,762,500.00 ",76
2001,"$60,612,667.00 ",93
2001,"$35,422,500.00 ",65
2001,"$109,105,953.00 ",86
2001,"$43,886,833.00 ",68
2001,"$24,130,000.00 ",85
2001,"$35,159,500.00 ",68
2001,"$112,287,143.00 ",95
2001,"$93,174,428.00 ",82
2001,"$33,810,750.00 ",102
2001,"$41,663,833.00 ",86
2001,"$57,760,833.00 ",62
2001,"$39,182,833.00 ",79
2001,"$74,720,834.00 ",116
2001,"$63,280,167.00 ",90
2001,"$78,538,333.00 ",93
2001,"$56,980,000.00 ",62
2001,"$88,633,500.00 ",73
2001,"$76,895,999.00 ",80
2002,"$61,721,667.00 ",99
2002,"$102,819,999.00 ",98
2002,"$92,870,367.00 ",101
2002,"$60,493,487.00 ",67
2002,"$108,366,060.00 ",93
2002,"$57,052,833.00 ",81
2002,"$75,690,833.00 ",67
2002,"$45,050,390.00 ",78
2002,"$78,909,449.00 ",74
2002,"$56,851,043.00 ",73
2002,"$55,048,000.00 ",55
2002,"$41,979,917.00 ",79
2002,"$63,448,417.00 ",84
2002,"$47,257,000.00 ",62
2002,"$94,850,953.00 ",92
2002,"$50,287,833.00 ",56
2002,"$40,425,000.00 ",94
2002,"$38,670,500.00 ",83
2002,"$125,928,583.00 ",103
2002,"$94,633,593.00 ",75
2002,"$40,004,167.00 ",103
2002,"$57,954,999.00 ",80
2002,"$42,323,599.00 ",72
2002,"$41,425,000.00 ",66
2002,"$80,282,668.00 ",93
2002,"$78,299,835.00 ",95
2002,"$74,660,875.00 ",97
2002,"$34,380,000.00 ",55
2002,"$105,526,122.00 ",72
2002,"$76,864,333.00 ",78
2003,"$79,031,667.00 ",77
2003,"$80,657,000.00 ",84
2003,"$106,243,667.00 ",101
2003,"$73,877,500.00 ",71
2003,"$99,946,500.00 ",95
2003,"$51,010,000.00 ",86
2003,"$79,868,333.00 ",88
2003,"$59,355,667.00 ",69
2003,"$48,584,834.00 ",68
2003,"$67,179,667.00 ",74
2003,"$49,168,000.00 ",43
2003,"$49,450,000.00 ",91
2003,"$71,040,000.00 ",87
2003,"$40,518,000.00 ",83
2003,"$105,572,620.00 ",85
2003,"$40,627,000.00 ",68
2003,"$55,505,000.00 ",90
2003,"$51,948,500.00 ",83
2003,"$152,749,814.00 ",101
2003,"$116,876,429.00 ",66
2003,"$50,260,834.00 ",96
2003,"$70,780,000.00 ",86
2003,"$54,812,429.00 ",75
2003,"$45,210,000.00 ",64
2003,"$86,959,167.00 ",93
2003,"$82,852,167.00 ",100
2003,"$83,786,666.00 ",85
2003,"$19,630,000.00 ",63
2003,"$103,491,667.00 ",71
2003,"$51,269,000.00 ",86
2004,"$100,534,667.00 ",92
2004,"$69,780,750.00 ",51
2004,"$90,182,500.00 ",96
2004,"$51,623,333.00 ",78
2004,"$127,298,500.00 ",98
2004,"$65,212,500.00 ",83
2004,"$90,560,000.00 ",89
2004,"$46,615,250.00 ",76
2004,"$34,319,300.00 ",80
2004,"$65,445,167.00 ",68
2004,"$46,832,000.00 ",72
2004,"$42,143,042.00 ",83
2004,"$75,397,000.00 ",92
2004,"$47,609,000.00 ",58
2004,"$92,902,001.00 ",93
2004,"$27,528,500.00 ",67
2004,"$53,585,000.00 ",92
2004,"$40,897,500.00 ",67
2004,"$184,193,950.00 ",101
2004,"$96,660,970.00 ",71
2004,"$59,425,667.00 ",91
2004,"$92,919,167.00 ",86
2004,"$32,227,929.00 ",72
2004,"$55,384,833.00 ",87
2004,"$81,515,834.00 ",63
2004,"$82,019,166.00 ",91
2004,"$83,228,333.00 ",105
2004,"$29,556,667.00 ",70
2004,"$55,050,417.00 ",89
2004,"$50,017,000.00 ",67
2005,"$62,329,166.00 ",77
2005,"$86,457,302.00 ",90
2005,"$73,914,333.00 ",74
2005,"$123,505,125.00 ",95
2005,"$75,178,000.00 ",99
2005,"$87,032,933.00 ",79
2005,"$61,892,583.00 ",73
2005,"$41,502,500.00 ",93
2005,"$47,839,000.00 ",67
2005,"$69,092,000.00 ",71
2005,"$60,408,834.00 ",83
2005,"$76,779,000.00 ",89
2005,"$36,881,000.00 ",56
2005,"$94,867,822.00 ",95
2005,"$83,039,000.00 ",71
2005,"$39,934,833.00 ",81
2005,"$56,186,000.00 ",83
2005,"$208,306,817.00 ",95
2005,"$101,305,821.00 ",83
2005,"$55,425,762.00 ",88
2005,"$95,522,000.00 ",88
2005,"$38,133,000.00 ",67
2005,"$63,290,833.00 ",82
2005,"$87,754,334.00 ",69
2005,"$90,199,500.00 ",75
2005,"$92,106,833.00 ",100
2005,"$29,679,067.00 ",67
2005,"$55,849,000.00 ",79
2005,"$45,719,500.00 ",80
2005,"$48,581,500.00 ",81
2006,"$59,684,226.00 ",76
2006,"$90,156,876.00 ",79
2006,"$72,585,582.00 ",70
2006,"$120,099,824.00 ",86
2006,"$102,750,667.00 ",90
2006,"$94,424,499.00 ",66
2006,"$60,909,519.00 ",80
2006,"$56,031,500.00 ",78
2006,"$41,233,000.00 ",76
2006,"$82,612,866.00 ",95
2006,"$14,671,500.00 ",78
2006,"$88,694,435.00 ",82
2006,"$47,294,000.00 ",62
2006,"$103,472,000.00 ",89
2006,"$98,447,187.00 ",88
2006,"$57,568,333.00 ",75
2006,"$63,396,006.00 ",96
2006,"$194,663,079.00 ",97
2006,"$101,084,963.00 ",97
2006,"$62,243,079.00 ",93
2006,"$88,273,333.00 ",85
2006,"$46,717,750.00 ",67
2006,"$69,896,141.00 ",88
2006,"$87,959,833.00 ",78
2006,"$90,056,419.00 ",76
2006,"$88,891,371.00 ",83
2006,"$34,917,967.00 ",61
2006,"$68,228,662.00 ",80
2006,"$71,365,000.00 ",87
2006,"$63,143,000.00 ",71
2007,"$52,067,546.00 ",90
2007,"$87,290,833.00 ",84
2007,"$93,174,808.00 ",69
2007,"$143,026,214.00 ",96
2007,"$108,671,833.00 ",72
2007,"$99,670,332.00 ",85
2007,"$68,524,980.00 ",72
2007,"$61,673,267.00 ",96
2007,"$54,041,000.00 ",90
2007,"$94,800,369.00 ",88
2007,"$30,507,000.00 ",71
2007,"$87,759,000.00 ",73
2007,"$67,116,500.00 ",69
2007,"$109,251,333.00 ",94
2007,"$108,454,524.00 ",82
2007,"$70,986,500.00 ",83
2007,"$71,439,500.00 ",79
2007,"$189,259,045.00 ",94
2007,"$115,231,663.00 ",88
2007,"$79,366,940.00 ",76
2007,"$89,428,213.00 ",89
2007,"$38,537,833.00 ",68
2007,"$58,110,567.00 ",89
2007,"$106,460,833.00 ",88
2007,"$90,219,056.00 ",71
2007,"$90,286,823.00 ",78
2007,"$24,123,500.00 ",66
2007,"$68,318,675.00 ",75
2007,"$81,942,800.00 ",83
2007,"$36,947,500.00 ",73
2008,"$66,202,712.00 ",82
2008,"$102,365,683.00 ",72
2008,"$67,196,246.00 ",68
2008,"$133,390,035.00 ",95
2008,"$121,189,332.00 ",89
2008,"$118,345,833.00 ",97
2008,"$74,117,695.00 ",74
2008,"$78,970,066.00 ",81
2008,"$68,655,500.00 ",74
2008,"$137,685,196.00 ",74
2008,"$21,811,500.00 ",84
2008,"$88,930,414.00 ",86
2008,"$58,245,500.00 ",75
2008,"$119,216,333.00 ",100
2008,"$118,588,536.00 ",84
2008,"$80,937,499.00 ",90
2008,"$56,932,766.00 ",88
2008,"$207,896,789.00 ",89
2008,"$137,793,376.00 ",89
2008,"$47,967,126.00 ",75
2008,"$97,879,880.00 ",92
2008,"$48,689,783.00 ",67
2008,"$73,677,616.00 ",63
2008,"$117,666,482.00 ",61
2008,"$76,594,500.00 ",72
2008,"$99,624,449.00 ",86
2008,"$43,820,597.00 ",97
2008,"$67,712,326.00 ",79
2008,"$97,793,900.00 ",86
2008,"$54,961,000.00 ",59
2009,"$73,115,666.00 ",70
2009,"$96,726,166.00 ",86
2009,"$67,101,666.00 ",64
2009,"$121,345,999.00 ",95
2009,"$96,068,500.00 ",79
2009,"$134,809,000.00 ",83
2009,"$73,558,500.00 ",78
2009,"$81,579,166.00 ",65
2009,"$75,201,000.00 ",92
2009,"$115,085,145.00 ",86
2009,"$36,834,000.00 ",87
2009,"$102,996,414.00 ",74
2009,"$70,519,333.00 ",65
2009,"$113,709,000.00 ",97
2009,"$100,414,592.00 ",95
2009,"$80,182,502.00 ",80
2009,"$65,299,266.00 ",87
2009,"$201,449,189.00 ",103
2009,"$149,373,987.00 ",70
2009,"$61,910,000.00 ",75
2009,"$113,004,046.00 ",93
2009,"$48,693,000.00 ",62
2009,"$43,333,700.00 ",75
2009,"$98,904,166.00 ",85
2009,"$83,026,450.00 ",88
2009,"$88,528,409.00 ",91
2009,"$63,313,034.00 ",84
2009,"$68,178,798.00 ",87
2009,"$80,538,300.00 ",75
2009,"$59,928,000.00 ",59
2010,"$60,718,166.00 ",65
2010,"$84,423,666.00 ",91
2010,"$81,612,500.00 ",66
2010,"$162,447,333.00 ",89
2010,"$105,530,000.00 ",88
2010,"$146,609,000.00 ",75
2010,"$71,761,542.00 ",91
2010,"$61,203,966.00 ",69
2010,"$84,227,000.00 ",83
2010,"$122,864,928.00 ",81
2010,"$57,029,719.00 ",80
2010,"$92,355,500.00 ",76
2010,"$71,405,210.00 ",67
2010,"$104,963,866.00 ",80
2010,"$95,358,016.00 ",80
2010,"$81,108,278.00 ",77
2010,"$97,559,166.00 ",94
2010,"$206,333,389.00 ",95
2010,"$134,422,942.00 ",79
2010,"$55,254,900.00 ",81
2010,"$141,928,379.00 ",97
2010,"$34,943,000.00 ",57
2010,"$37,799,300.00 ",90
2010,"$86,510,000.00 ",61
2010,"$98,641,333.00 ",92
2010,"$93,540,751.00 ",86
2010,"$71,923,471.00 ",96
2010,"$55,250,544.00 ",90
2010,"$62,234,000.00 ",85
2010,"$61,400,000.00 ",69
2011,"$53,639,833.00 ",94
2011,"$87,002,692.00 ",89
2011,"$85,304,038.00 ",69
2011,"$161,762,475.00 ",90
2011,"$127,789,000.00 ",79
2011,"$125,047,329.00 ",71
2011,"$75,947,134.00 ",79
2011,"$48,776,566.00 ",80
2011,"$88,148,071.00 ",73
2011,"$105,700,231.00 ",95
2011,"$56,944,000.00 ",72
2011,"$70,694,000.00 ",56
2011,"$35,712,000.00 ",71
2011,"$138,543,166.00 ",86
2011,"$104,188,999.00 ",82
2011,"$85,497,333.00 ",96
